time,timew,l,psm,ts,dQ,ti,te,I0,dI
0,49.5,0,0,21.66,-8.70E-06,3.884808165,17.69877526,-5.57E-05,6.79E-06
0.75,50.25,0,0,20.94,-8.53E-06,3.909749432,17.84187666,-5.54E-05,6.66E-06
1.5,51,0,0,20.48,-8.57E-06,4.030906315,18.28432892,-5.70E-05,6.83E-06
2.25,51.75,0,0,20.14,-8.40E-06,3.955705952,17.99452632,-5.74E-05,6.65E-06
3,52.5,0,0,19.72,-8.30E-06,4.061935219,18.40528483,-5.74E-05,6.71E-06
3.75,53.25,0,0,19.02,-8.17E-06,4.078921993,18.49470645,-5.71E-05,6.56E-06
4.5,54,0,0,18.22,-7.80E-06,3.874132382,17.83319321,-5.42E-05,5.93E-06
5.25,54.75,0,0,17.41,-7.77E-06,3.951250677,18.11441041,-5.55E-05,6.03E-06
6,55.5,0,0,16.64,-7.60E-06,4.036129972,18.42510468,-5.56E-05,6.02E-06
6.75,56.25,0,0,15.88,-7.50E-06,4.196653907,19.08488702,-5.53E-05,6.07E-06
7.5,57,0,-0.010010286,15.23,-7.33E-06,4.047761593,18.54255884,-5.50E-05,5.79E-06
8.25,57.75,0,-0.016674769,15.57,-7.30E-06,4.041006755,18.40623151,-5.51E-05,5.83E-06
9,58.5,0,-0.08186399,15.36,-7.20E-06,4.060261253,18.48878263,-5.50E-05,5.81E-06
9.75,59.25,0,-0.181441059,15.1,-7.23E-06,4.090419145,18.57875091,-5.50E-05,5.86E-06
10.5,60,1,-0.291060914,16.82,-7.17E-06,3.898426365,17.83174245,-5.27E-05,5.63E-06
11.25,60.75,1,-0.419366784,20.19,-7.90E-06,4.072349813,18.42480432,-5.49E-05,6.38E-06
12,61.5,1,-0.530027073,22.05,-8.33E-06,3.996951191,18.14712366,-5.56E-05,6.63E-06
